faction,ability_id,name,flags,text
"adepta-sororitas","miraculous-intervention","Miraculous Intervention","paren_plural","If destroyed by a any attack and at once per battle: /   -> Roll D6: on 2+, return 1 model(s) to self with full wounds / Scope: self. Duration: battle."
"adepta-sororitas","mysterious-saviours","Mysterious Saviours","placeholder","refund ? CP / Scope: unit. Duration: permanent."
"adepta-sororitas","null-rod","Null Rod","","unit gains Feel No Pain 4+ / Scope: unit. Duration: permanent."
"adepta-sororitas","overseer-of-redemption","Overseer of Redemption","","If during the fight phase: /   -> re-roll hit rolls (all failures) for unit /   -> re-roll wound rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","perfervid-haste","Perfervid Haste","","+1 M for unit / Scope: unit. Duration: permanent. / Applies to: units with Adepta Sororitas."
"adepta-sororitas","purge-and-cleanse","Purge and Cleanse","","If during the shooting phase: /   -> unit gains benefit of cover / Scope: unit. Duration: phase."
"adepta-sororitas","rapturous-blows","Rapturous Blows","","If during the fight phase: /   -> deal 1 mortal wounds to defender / Scope: unit. Duration: phase."
"adepta-sororitas","recount-the-deeds-of-the-saints","Recount the Deeds of the Saints","placeholder","If the model is leading a unit and the unit has ""AGATHE-DOLAN"" and 1+ enemy units destroyed ?: /   -> gain 1 to miracle-dice-pool / If the unit has ""AGATHE-DOLAN"" and destroyed by a any attack: /   -> gain 1D3 to miracle-dice-pool / Scope: unit. Duration: turn."
"adepta-sororitas","relics-of-the-matriarchs","Relics of the Matriarchs","","If at start of battle round: /   -> self gains relics of matriarchs / Scope: self. Duration: battle round."
"adepta-sororitas","righteous-awareness","Righteous Awareness","","unit gains reactive move / Scope: aura 9. Duration: permanent."
"adepta-sororitas","righteous-paragons","Righteous Paragons","","+1 to hit rolls for unit / +1 to wound rolls for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","righteous-repugnance","Righteous Repugnance","","+3 A for unit / Scope: unit. Duration: phase."
"adepta-sororitas","righteous-smiting","Righteous Smiting","","If during the fight phase and attached to a unit: /   -> +1 to wound rolls for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","rites-of-castigation","Rites of Castigation","","If during the shooting phase: /   -> +-1 AP for unit / Scope: unit. Duration: turn."
"adepta-sororitas","rituale-nullificatus","Rituale Nullificatus","","unit gains Feel No Pain 4+ / Scope: unit. Duration: permanent."
"adepta-sororitas","rod-of-office","Rod of Office","","re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","sacred-banner","Sacred Banner","","re-roll charge rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","sacred-command","Sacred Command","","refund 1 CP / Scope: unit. Duration: one use."
"adepta-sororitas","sacred-healing","Sacred Healing","paren_plural","If attached to a unit: /   -> return 1 model(s) to unit with full wounds / Scope: unit. Duration: permanent."
"adepta-sororitas","salvationist-medikit","Salvationist Medikit","paren_plural","return d3 model(s) to unit with full wounds / Scope: unit. Duration: permanent."
"adepta-sororitas","sanctified-blows","Sanctified Blows","","+1 A (melee) for unit / +1 S (melee) for unit / Scope: unit. Duration: phase. / Applies to: units with Celestian Sacresants."
"adepta-sororitas","scouts-6","Scouts 6""","","unit gains scouts 6"" / Scope: unit. Duration: one use."
"adepta-sororitas","self-repair","Self Repair","paren_plural","return 1 model(s) to self with full wounds / Scope: unit. Duration: permanent."
"adepta-sororitas","simulacrum-imperialis","Simulacrum Imperialis","","If during the command phase and at end of phase and you control 1+ objectives and within range of an objective: /   -> Roll D6: on 4+, gain 1 to miracle-dice-pool / Scope: self. Duration: phase."
"adepta-sororitas","solemn-procession","Solemn Procession","","If at start of battle round: /   -> self gains miracle dice fixed 6 override / Scope: self. Duration: battle round."
"adepta-sororitas","stanchion-of-holy-martyrs","Stanchion of Holy Martyrs","","If attached to a unit: /   -> set Sv to 2 for self / Scope: unit. Duration: permanent."
"adepta-sororitas","stirring-rhetoric","Stirring Rhetoric","","If the model is leading a unit: /   If at act of faith: /     -> unit gains miracle dice value set 6 / Scope: unit. Duration: phase."
"adepta-sororitas","storm-of-retribution","Storm of Retribution","","If during the shooting phase: /   -> re-roll hit rolls (ones) for unit /   -> re-roll wound rolls (ones) for unit /   -> +1 to hit rolls for unit /   -> +1 to wound rolls for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","supreme-commander","Supreme Commander","","self: must be warlord / Scope: unit. Duration: permanent."
"adepta-sororitas","sworn-protectors","Sworn Protectors","","If attached to a unit: /   -> -1 to wound rolls for attacker / Scope: unit. Duration: permanent."
"adepta-sororitas","symphonic-payload","Symphonic Payload","","re-roll attacks-characteristic rolls (all failures) for self / Scope: self. Duration: permanent. / Applies to: units with Exorcist."
"adepta-sororitas","the-emperor-s-grace","The Emperor’s Grace","","self gains a 2+ invulnerable save / Scope: unit. Duration: phase."
"adepta-sororitas","the-pulpit-of-saint-holline-s-basilica","The Pulpit of Saint Holline’s Basilica","","If attached to a unit: /   -> -1 to hit rolls for attacker / Scope: unit. Duration: permanent."
"adepta-sororitas","unflinching-determination","Unflinching Determination","","If attached to a unit: /   -> +1 OC for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","unflinching-determination-sacred-champions","Unflinching Determination","","unit's weapons gain Assault / unit gains act after move / Scope: unit. Duration: turn. / Applies to: units with Celestian Sacresants."
"adepta-sororitas","virtue-of-intolerance","Virtue of Intolerance","","re-roll hit rolls (all failures) for unit / unit's weapons gain Precision / Scope: unit. Duration: permanent."
"adepta-sororitas","war-hymns","War Hymns","","If attached to a unit: /   -> unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: permanent."
"adepta-sororitas","writ-of-compunction","Writ of Compunction","","+1 OC for unit / Scope: unit. Duration: permanent. / Applies to: units with Celestian Sacresants."
"adepta-sororitas","zealot","Zealot","","If during the fight phase: /   -> +3 A for unit /   -> +3 S for unit / Scope: unit. Duration: phase."
"adeptus-astartes","aerial-assault","Aerial Assault","","unit gains transport disembark modifier / Scope: unit. Duration: permanent."
"adeptus-astartes","aerial-deployment","Aerial Deployment","","If the unit has ""HOVER"" and the unit has ""STRATEGIC RESERVES"": /   -> self gains reinforcement any of turns 1 to 3 / Scope: self. Duration: battle."
"adeptus-astartes","an-honourable-death-in-combat","An Honourable Death in Combat","","If the unit is below starting strength and the unit is below half strength: /   -> unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: permanent."
"adeptus-astartes","ancient-tactician","Ancient Tactician","","gain 1 CP / Scope: unit. Duration: permanent."
"adeptus-astartes","angel-s-wrath","Angel’s Wrath","","If attached to a unit: /   -> +1 S for unit / Scope: unit. Duration: turn."
"adeptus-astartes","angelic-visage","Angelic Visage","","If during the fight phase: /   -> -1 to hit rolls for attacker / Scope: unit. Duration: permanent."
"adeptus-astartes","annihilator","Annihilator","","If during the shooting phase: /   -> re-roll damage rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","annihilator-protocols","Annihilator Protocols","","unit's weapons gain Sustained Hits 2 / Scope: unit. Duration: permanent."
"adeptus-astartes","anvil-of-endurance","Anvil of Endurance","","If during the fight phase and attached to a unit: /   -> self fights on death / Scope: unit. Duration: permanent."
"adeptus-astartes","aquilon-optics","Aquilon Optics","","re-roll damage rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","armorium-cherub","Armorium Cherub","","-6 to any rolls for self / Scope: unit. Duration: one use."
"adeptus-astartes","armour-of-fate","Armour of Fate","paren_plural","return 1 model(s) to self with full wounds / Scope: unit. Duration: permanent."
"adeptus-astartes","armoured-resilience","Armoured Resilience","placeholder","reduce incoming damage to unit by ? / Scope: unit. Duration: permanent."
"adeptus-astartes","armoured-spearhead","Armoured Spearhead","","re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","assault-ramp","Assault Ramp","","unit gains transport disembark modifier / Scope: unit. Duration: permanent."
"adeptus-astartes","assault-vehicle","Assault Vehicle","","unit gains transport disembark modifier / Scope: unit. Duration: permanent."
"adeptus-astartes","astartes-banner","Astartes Banner","","+1 OC for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","astartes-shield","Astartes shield","","self gains a 4+ invulnerable save / Scope: unit. Duration: permanent."
"adeptus-astartes","atomantic-arc-reactor","Atomantic Arc-reactor","","If during the shooting phase and the unit remained stationary: /   -> unit's weapons gain Lethal Hits / Scope: unit. Duration: permanent."
"adeptus-astartes","attached-unit","Attached Unit","","If attached to a unit: /   -> unit gains attached unit eligibility / Scope: unit. Duration: permanent."
"adeptus-astartes","aura-of-fervour-aura","Aura of Fervour (Aura)","","If the unit has ""ADEPTUS ASTARTES"": /   -> friendly within aura gains battle shock test re roll /   -> friendly within aura gains leadership test re roll / Scope: aura 6. Duration: battle."
"adeptus-astartes","auspex-array","Auspex Array","","unit's weapons gain Ignores Cover / Scope: unit. Duration: permanent."
"adeptus-astartes","author-of-the-codex","Author of the Codex","","If during the command phase: /   -> self gains author of the codex / Scope: self. Duration: turn."
"adeptus-astartes","ballistus-strike","Ballistus Strike","","If during the shooting phase and the unit is below half strength and the target has ""A"": /   -> re-roll hit rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","banner-of-macragge","Banner of Macragge","","If during the fight phase: /   -> +1 A for unit / Scope: unit. Duration: phase."
"adeptus-astartes","battle-lust","Battle-lust","","+2 A for unit / Scope: unit. Duration: turn."
"adeptus-astartes","berserk-charge","Berserk Charge","","unit gains charge after advance / Scope: unit. Duration: permanent."
"adeptus-astartes","bestial-fury","Bestial Fury","","re-roll charge rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","bestial-rage","Bestial Rage","","If at shooting phase and the model has lost wounds: /   -> self gains bestial rage D6+2"" / Scope: self. Duration: phase."
"adeptus-astartes","black-rage","Black Rage","","If during the fight phase: /   -> re-roll hit rolls (all failures) for unit / Scope: aura 6. Duration: permanent."
"adeptus-astartes","blackstar-cluster-launcher","Blackstar Cluster Launcher","","deal 1 mortal wounds to defender / Scope: unit. Duration: permanent."
"adeptus-astartes","blackwing-mantle","Blackwing Mantle","placeholder","refund ? CP / Scope: unit. Duration: permanent."
"adeptus-astartes","bladeguard","Bladeguard","","If during the fight phase: /   -> re-roll hit rolls (ones) for unit / Scope: unit. Duration: phase."
"adeptus-astartes","blessing-of-the-omnissiah","Blessing of the Omnissiah","","+1 to hit rolls for unit / Scope: aura 6. Duration: until next command phase."
"adeptus-astartes","blizzard-shield","Blizzard Shield","","self gains a 4+ invulnerable save / Scope: unit. Duration: permanent."
"adeptus-astartes","blood-chalice","Blood Chalice","","If attached to a unit: /   -> +-1 AP for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","book-of-salvation","Book of Salvation","","If attached to a unit: /   -> +1 A for unit / Scope: aura 6. Duration: permanent."
"adeptus-astartes","braziers-of-judgement","Braziers of Judgement","","If attached to a unit: /   -> -1 to hit rolls for attacker / Scope: unit. Duration: permanent."
"adeptus-astartes","brutalis-charge","Brutalis Charge","","deal d3 mortal wounds to defender / Scope: unit. Duration: permanent."
"adeptus-astartes","captain-of-the-honour-guard","Captain of the Honour Guard","","self: unique unit limit / Scope: unit. Duration: permanent."
"adeptus-astartes","catechism-of-fire","Catechism of Fire","","unit's weapons gain Devastating Wounds / Scope: aura 12. Duration: phase."
"adeptus-astartes","centurion-assault-launcher","Centurion assault launcher","","self's weapons gain Grenades / Scope: unit. Duration: permanent."
"adeptus-astartes","ceramite-cover","Ceramite Cover","","If during the shooting phase: /   -> unit gains benefit of cover / Scope: unit. Duration: permanent."
"adeptus-astartes","cerebrex-logic-engine","Cerebrex Logic Engine","","If at declare battle formations: /   -> all friendly gains select one infantry unit gains scouts 6 / If at post deployment: /   -> all friendly gains pregame redeploy up to three infantry units / Scope: any on battlefield. Duration: battle."
"adeptus-astartes","champion-of-the-kingsguard","Champion of the Kingsguard","","If during the fight phase and the target has ""CHARACTER"": /   -> re-roll hit rolls (all failures) for unit /   -> re-roll wound rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","chapter-master-of-the-raven-guard","Chapter Master of the Raven Guard","","If at declare battle formations and the unit has ""AETHON SHAAN"" and the unit has ""KAYVAAN SHRIKE"": /   -> unit's weapons gain CAPTAIN /   -> unit gains remove chapter master keyword /   -> unit gains remove lone operative / Scope: self. Duration: battle."
"adeptus-astartes","close-quarters-firepower","Close-quarters Firepower","","If during the shooting phase: /   -> +-1 AP for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","cold-and-calculating","Cold and Calculating","","unit's weapons gain Lethal Hits / unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: permanent."
"adeptus-astartes","combat-disembarkation","Combat Disembarkation","","unit gains transport disembark modifier / Scope: unit. Duration: permanent."
"adeptus-astartes","combat-squads","Combat Squads","","unit gains combat squads / Scope: unit. Duration: permanent."
"adeptus-astartes","command-squad","Command Squad","","If attached to a unit: /   -> -1 to wound rolls for attacker / Scope: unit. Duration: permanent."
"adeptus-astartes","command-squad-bodyguard","COMMAND SQUAD BODYGUARD","","If attached to a unit: /   -> unit gains attached unit eligibility / Scope: unit. Duration: permanent."
"adeptus-astartes","company-heroes","Company Heroes","","unit gains forced attachment / Scope: unit. Duration: permanent."
"adeptus-astartes","condemnatory-annihilation","Condemnatory Annihilation","","force a battle shock test on enemy within aura / Scope: aura 6. Duration: permanent."
"adeptus-astartes","crimson-fists","Crimson Fists","","self gains faction metadata / Scope: unit. Duration: permanent."
"adeptus-astartes","crusade-of-wrath","Crusade of Wrath","","If attached to a unit: /   -> +1 S for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","cunning-hunters","Cunning Hunters","","re-roll wound rolls (ones) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","curse-of-the-wulfen","Curse of the Wulfen","","+1 OC for unit / Scope: aura 6. Duration: permanent."
"adeptus-astartes","cut-off-their-escape","Cut Off Their Escape","","enemy within aura: anti fallback / Scope: unit. Duration: permanent."
"adeptus-astartes","dark-angels-bodyguard","Dark Angels Bodyguard","","If within 3"" of friendly: /   -> self gains lone operative / Scope: self. Duration: battle."
"adeptus-astartes","deadly-demise-1","Deadly Demise 1","","Roll D6: on 6+, deal 1 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"adeptus-astartes","deadly-demise-2d6","Deadly Demise 2D6","","Roll D6: on 6+, deal 2D6 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"adeptus-astartes","deadly-demise-d3","Deadly Demise D3","","Roll D6: on 6+, deal D3 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"adeptus-astartes","deadly-demise-d6","Deadly Demise D6","","Roll D6: on 6+, deal D6 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"adeptus-astartes","deadly-demise-d6-2","Deadly Demise D6+2","","Roll D6: on 6+, deal D6+2 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"adeptus-astartes","deadly-stalkers","Deadly Stalkers","","+1 to wound rolls for unit / Scope: aura 6. Duration: permanent."
"adeptus-astartes","deadly-terror","Deadly Terror","","If attached to a unit: /   -> +3 aura-range for self / Scope: unit. Duration: permanent."
"adeptus-astartes","death-hold","Death-hold","","If during the shooting phase: /   -> ignore engagement penalty hit rolls for self / Scope: unit. Duration: permanent."
"adeptus-astartes","death-mask-of-sanguinius","Death Mask of Sanguinius","","If during the fight phase: /   -> force a battle shock test on enemy within aura / Scope: aura 6. Duration: permanent."
"adeptus-astartes","death-to-the-alien","Death to the Alien","","re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","death-totem","Death Totem","","If during the fight phase: /   -> re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","death-vision-of-sanguinius","Death Vision of Sanguinius","","If during the fight phase: /   -> deal d3 mortal wounds to defender / Scope: unit. Duration: permanent."
"adeptus-astartes","deathstorm-assault","Deathstorm Assault","","unit can deep strike / Scope: unit. Duration: permanent."
"adeptus-astartes","deathwing","Deathwing","","+1 to hit rolls for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","decimator-protocols","Decimator Protocols","","If during the shooting phase: /   -> re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","deeds-of-heroism","Deeds of Heroism","","+1 A for unit / Scope: unit. Duration: phase."
"adeptus-astartes","deep-strike","Deep Strike","","unit can deep strike / Scope: unit. Duration: permanent."
"adeptus-astartes","defensive-array","Defensive Array","placeholder","refund ? CP / Scope: unit. Duration: permanent."
"adeptus-astartes","demetrian-titus","DEMETRIAN TITUS","","self: unique unit limit / Scope: unit. Duration: permanent."
"adeptus-astartes","deployment-complete","Deployment Complete","","self gains special embark rule / Scope: unit. Duration: permanent."
"adeptus-astartes","deredeo-strike","Deredeo Strike","","If during the shooting phase and the unit is below half strength and the target has ""A"": /   -> re-roll hit rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","designer-s-note","Designer’s Note","placeholder","If at model destroyed and not (within ?"" of models-on-red-sections): /   -> unit gains passenger relocation on destruction / Scope: self. Duration: permanent."
"adeptus-astartes","destructor","Destructor","","If during the shooting phase and the target has ""INFANTRY"": /   -> +-1 AP for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","driven-by-fury","Driven by Fury","","modify stats for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","drop-pod-assault","Drop Pod Assault","","unit can deep strike / Scope: unit. Duration: permanent."
"adeptus-astartes","duty-eternal","Duty Eternal","placeholder","reduce incoming damage to unit by ? / Scope: unit. Duration: permanent."
"adeptus-astartes","echo-of-the-ravenspire","Echo of the Ravenspire","","unit gains redeploy to reserves / Scope: unit. Duration: permanent."
"adeptus-astartes","embarking-within-transports","Embarking Within Transports","","self gains special embark rule / Scope: unit. Duration: permanent."
"adeptus-astartes","emergency-combat-embarkation","Emergency Combat Embarkation","","unit gains once per round special / Scope: aura 6. Duration: permanent."
"adeptus-astartes","engulfing-fear-psychic","Engulfing Fear (Psychic)","","If during the shooting phase: /   -> force a battle shock test on enemy within aura / Scope: aura custom (18""). Duration: permanent."
"adeptus-astartes","enmity-for-the-unworthy","Enmity for the Unworthy","","If the target has ""CHARACTER"": /   -> +1 to hit rolls for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","evade-and-survive","Evade and Survive","","unit gains reactive move / Scope: aura 9. Duration: permanent."
"adeptus-astartes","even-in-death-i-serve","Even In Death I Serve","paren_plural","return 1 model(s) to self with full wounds / Scope: unit. Duration: permanent."
"adeptus-astartes","executioner","Executioner","","If the unit is below half strength and the target has ""A"": /   -> +1 to hit rolls for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","exemplar-of-hate","Exemplar of Hate","","If during the fight phase and attached to a unit: /   -> re-roll hit rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adeptus-astartes","exhortation-of-rage","Exhortation of Rage","","deal d3 mortal wounds to defender / Scope: unit. Duration: permanent."
"adeptus-astartes","exploit-their-cowardice","Exploit Their Cowardice","","enemy within aura: anti fallback / Scope: unit. Duration: permanent."
"adeptus-astartes","explorator-augury-web","Explorator Augury Web","","enemy within aura: reinforcement denial (within 12"") / Scope: aura 12. Duration: permanent."
"adeptus-astartes","feared-interrogator","Feared Interrogator","","If during the fight phase: /   -> force a battle shock test on enemy within aura / Scope: aura 6. Duration: permanent."
"adeptus-astartes","fearsome-assault","Fearsome Assault","","If during the fight phase: /   -> force a battle shock test on enemy within aura / Scope: unit. Duration: permanent."
"adeptus-astartes","feel-no-pain-4","Feel No Pain 4+","","unit gains Feel No Pain 4+ / Scope: unit. Duration: permanent."
"adeptus-astartes","feel-no-pain-5","Feel No Pain 5+","","unit gains Feel No Pain 5+ / Scope: unit. Duration: permanent."
